collection,collected.by,archived.since,description,subject,creator,publisher,type,date,collector,language,extra
 COVID-19 防疫關鍵決策網（台灣衛福部） ," Institute of Information Science, Academia Sinica ",2022-02,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Ontario , University of Toronto ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19/Coronavirus , Buffalo & Erie County Public Library ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID19 in Alberta , University of Alberta ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Ontario COVID-19 , Archives Unleashed ,2020-06,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 pandemic , LIPA (Legal Information Preservation Alliance) ,2021-01,NA,,NA,NA,NA,NA,NA,NA,NA
 RI.gov Covid Info , Providence Public Library ,2022-01,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic , Trinity College ,2022-05,"
Trinity College updates, reactions, news, and resources relating to the COVID-19 Pandemic",,NA,NA,NA,NA,NA,NA,NA
" University of California, Berkeley COVID-19 Response web archives ", University of California Berkeley ,2020-03,"
Web archive documenting the University of California, Berkeley's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 SW Michigan COVID-19 Coverage , Western Michigan University ,2020-03,"
Collection of Southwest Michigan government and community sites dedicated to news, information, and resources surrounding the Coronavirus (COVID-19) pandemic of 2019-2020.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 URLs from Yale , Mark Graham ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Gettysburg College COVID-19 Response , Gettysburg College ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 UNT COVID-19 Response , University of North Texas ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid URLs For the NYTimes , Mark Graham ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , U.S. Department of Health and Human Services ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Henderson Libraries - COVID-19 , Henderson District Public Libraries ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 NIH and COVID-19 , National Institutes of Health ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID--19 , Charles R. Drew University of Medicine and Science ,2020-07,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 Returning to Campus , Hamilton College ,2020-09,NA,,NA,NA,NA,NA,NA,NA,NA
 Syracuse University COVID-19 Response , Syracuse University  ,2021-02,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response no pdf , United Nations ,2022-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 Archive , SUNY Broome Library ,2022-09,NA,,NA,NA,NA,NA,NA,NA,NA
 Documenting COVID-19 in Niagara , Brock University ,2025-01,NA,,NA,NA,NA,NA,NA,NA,NA
 RIT and Covid19 , Rochester Institute of Technology ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 (Coronavirus) , National Library of Ireland ,2020-03,"
This collection contains websites related to the health sector, finance, the response to the Covid-19 pandemic, Irish society and culture.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in El Paso collection , University of Texas at El Paso ,2021-06,"
This collection helps document the COVID-19 pandemic in El Paso.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in  Vanuatu , National Library of Australia ,2020-04,"
This web archive documents that policy responses to the COVID-19 pandemic across the Vanuatu. The content includes government official COVID-19 information website, news reports about the impacts of COVID-19 in the country.",,NA,NA,NA,NA,NA,NA,NA
 Yale COVID-19 websites , Yale University-Manuscripts and Archives ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 : miscellaneous webpages , National Library of New Zealand ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 AMNH COVID Web Assets , American Museum of Natural History ,2020-11,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in West Virginia , West Virginia University ,2022-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID19 uOttawa , University of Ottawa ,2020-03,"
University of Ottawa website documenting information and response to COVID-19 outbreak",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 NU System Response , University of Nebraska-Lincoln  ,2020-04,"
University of Nebraska System Response to COVID-19 Pandemic",,NA,NA,NA,NA,NA,NA,NA
 Writing Covid , University College Dublin ,2020-10,"
Websites relating to literature written and disseminated during the COVID 19 pandemic",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 - Washington, D.C. "," People's Archive, DC Public Library ",2020-04,"
A collection of websites documenting the the COVID-19 Pandemic in Washington, D.C.",,NA,NA,NA,NA,NA,NA,NA
 RISD COVID Plan , Rhode Island School of Design  ,2020-07,"
The site documents Rhode Island School of Design's response to the COVID-19 pandemic. Earlier versions of the website are available at Brown University's COVID-19 and Rhode Island collection.",,NA,NA,NA,NA,NA,NA,NA
 San Francisco COVID-19 Coverage , San Francisco Public Library ,2020-03,"
Online sources describing the beginning of COVID-19 pandemic in San Francisco.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 & Niagara Falls (NY) , Niagara Falls Public Library ,2022-09,"
A collection of websites that cover the subject of COVID-19 and it's effect on Niagara Falls (NY) and Niagara County",,NA,NA,NA,NA,NA,NA,NA
 AAP COVID , American Academy of Pediatrics ,2021-07,"
This web archive preserves the history of the AAP's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Archiving the COVID-19 Pandemic ," University of Texas at Arlington, Special Collections ",2020-05,"
Webpages submitted to the UTA Libraries after the call for materials for its Archiving the COVID-19 Pandemic project. These materials document the COVID-19 pandemic and its impact on the community.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Oxford County Archives ,2022-02,"
Archived web content related to the COVID-19 pandemic and its impacts on the Oxford County community.",,NA,NA,NA,NA,NA,NA,NA
 COVID19 2020 , University of Iowa - School of Library and Information Sciences ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 McMaster University - covid-19 response , McMaster University ,2020-07,NA,,NA,NA,NA,NA,NA,NA,NA
 CA School Districts Covid Response ," UC Davis, School of Education ",2020-10,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 Response at Binghamton University , DPOE-N Workshops ,2021-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Charlotte Mecklenburg Library's COVID-19 Response , Charlotte Mecklenburg Library ,2022-01,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response , Loyola Marymount University ,2020-05,"
This collection of web-based resources records Loyola Marymount University's response to the COVID-19 pandemic. It includes documents created by university units, social media hashtags and news articles.",,NA,NA,NA,NA,NA,NA,NA
 Williams Covid-19 Website , Williams College ,2020-03,"
Williams College website documenting information and response to COVID-19 outbreak.",,NA,NA,NA,NA,NA,NA,NA
 COVID Collection , Lynn University ,2022-06,"
A collection of Lynn University websites that focus on providing information to faculty, staff, students and parents during the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Simon Fraser University response to the Novel Coronavirus (COVID-19) outbreak , Simon Fraser University ,2020-03,"
A collection to preserve Simon Fraser University (SFU) and SFU Library web content related to the institutional response to the ongoing Novel Coronavirus (Covid-19) outbreak.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic Web Archives , William & Mary ,2020-04,"
Capturing experiences related to COVID-19 on the campus of William & Mary and in the Williamsburg, Virginia area. For more archived websites, visit webrecorder.io/WMLibrariesSCRC/covid-19-pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Gettysburg College/MussLib COVID-19 Response , Gettysburg College ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Microsoft COVID-19 response , Microsoft Archives ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
" Xavier University (Cincinnati, Ohio) COVID-19 Collection ", Xavier University ,2021-08,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in Fiji , National Library of Australia ,2020-04,"
This collection provides ongoing access to the online information presented about the COVID-19 in Fiji. It preserves internet sites that contain Fijian government COVID-19 media releases (including the COVID-19 Response Budget Estimate 2019-2020) and online news covered from travel, economic and individual experiences.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response: Jewish Theological Seminary , Jewish Theological Seminary  ,2020-10,"
This collection documents the institutional response of the Jewish Theological Seminary to the COVID-19 pandemic, including updates on access to campus, virtual events, and resources for celebrating holidays virtually.",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 at OSU and in Corvallis, Oregon ", Oregon State University Libraries ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19: Colorado State University's Response , Colorado State University ,2020-03,"
Web content documenting Colorado State University's response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Birmingham Metro Area , Birmingham Public Library ,2020-04,"
Websites documenting Birmingham and Jefferson County Alabama's response to COVID-19. The collection includes web content from local governments, places of worship, schools, restaurants, healthcare providers, funeral homes, public libraries, local news organizations, utilities, and transportation. Earliest websites added in April 2020.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Université de Montréal ,2020-07,"
Cette collection rassemble les contenus Web relatifs à la COVID-19 et l'Université de Montréal.",,NA,NA,NA,NA,NA,NA,NA
 Statistics NZ Covid19 data portal , National Library of New Zealand ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 in Europe ," University of Texas at Austin, Dept of Germanic Studies ",2020-11,NA,,NA,NA,NA,NA,NA,NA,NA
" COVID-19 Information Pages of Stamford, Connecticut ", The Ferguson Library ,2021-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 and Essex-Kent Mennonites , Essex-Kent Mennonite Historical Association ,2022-09,NA,,NA,NA,NA,NA,NA,NA,NA
 Clark County’s Response to Covid-19 , Ashland City Library ,2022-10,NA,,NA,NA,NA,NA,NA,NA,NA
 Coronavirus (Covid 19) College Response Collection , Colorado College ,2023-02,NA,,NA,NA,NA,NA,NA,NA,NA
 University of Oregon COVID-19 Pandemic Collection , University of Oregon ,2023-07,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 @ ASU Response , Arizona State University ,2020-03,"
A collection of sites documenting Arizona State University's response to COVID-19 as well as the pandemic's impact on the broader ASU community.",,NA,NA,NA,NA,NA,NA,NA
 Work and COVID-19 , Cornell University Library ,2020-04,"
Collection of national and international web pages documenting the responses by unions, governments, nonprofits, employer consultants, and the textile industry to labor and employment challenges raised by the coronavirus disease (COVID-19).",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Kansas State University ,2020-04,"
This web archive contains university and community resources which document the response to the 2020 COVID-19 global pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 University Response , Towson University  ,2020-04,"
Towson University's response to the COVID-19 pandemic of 2020, including campus communications, blogs, and presidential messages.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in  Solomon Islands , National Library of Australia ,2020-04,"
This web archive documents that responses to the COVID-19 pandemic across the country with a focus on the Dr. Claude Posala's termination because of his various posts on Facebook on certain government actions about the COVID-19.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Images and Stories in Taiwan ," Institute of Information Science, Academia Sinica ",2022-02,NA,,NA,NA,NA,NA,NA,NA,NA
 Chippewa Valley Covid-19 Response , University of Wisconsin Eau Claire ,2020-03,"
This collection provides access to local government websites and news reports documenting the Chippewa Valley's response to the Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 and Smoking Web Archive , UCSF Industry Documents Library ,2020-03,"
Web archive of sites related to tobacco industry messaging about smoking and vaping during the COVID-19 coronavirus outbreak beginning December 2019",,NA,NA,NA,NA,NA,NA,NA
 Connecticut College COVID-19 Response , Connecticut College ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid 19 , New Jersey State Library ,2020-04,NA,,NA,NA,NA,NA,NA,NA,NA
 Clemson University COVID-19 Response , Clemson University ,2024-04,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in China , National Library of Australia ,2020-04,"
A collection of websites documents a range of topics in relation to the COVID-19 pandemic in China. It features temporary legislation and regulations issued by the Chinese government; China's censorship control over the media; the China-Australia relations and the racism and discrimination towards Chinese Australian communities during the pandemic; It also includes sites on the medical breakthroughs and cooperation and etc. This collection includes websites from the Chinese government, non-government organisations, newspapers, and social media.",,NA,NA,NA,NA,NA,NA,NA
 COVID19 Saskatchewan , University of Saskatchewan ,2020-03,"
The Covid 19 Saskatchewan Digital Archive is a collection of government, community, social media, and university websites with information relating to the Covid 19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Thailand , National Library of Australia ,2020-04,"
A collection of sites documenting information and response to COVID-19 Pandemic in Thailand including selected government websites, Facebook pages and useful relevant public resources",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Hennepin County , Hennepin County Library ,2020-08,"
Websites documenting the local response to COVID-19. The collection includes web content from local governments, service organizations, places of worship, schools, restaurants, and healthcare providers. Earliest websites added in May 2020.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Hope College ,2020-10,"
This archive documents changes to Hope College's COVID-19 web page. The page itself includes the overall policy, data for COVID cases on campus, email announcements, and other health resources.",,NA,NA,NA,NA,NA,NA,NA
 Elizabethtown College COVID-19 Response , Elizabethtown College ,2022-02,"
Collection of websites and documents related to Elizabethtown College's response to the COVID-19 pandemic beginning in March 2020.",,NA,NA,NA,NA,NA,NA,NA
" Unite Against Covid-19, 16 November 2020 ", National Library of New Zealand ,2020-11,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 News Articles , James Blackstone Memorial Library ,2022-01,"
This collection contains news articles from The Sound newspaper on the COVID-19 pandemic in Branford, CT.",,NA,NA,NA,NA,NA,NA,NA
 Kansas COVID-19 Collection , Kansas Archive-It Consortium ,2023-04,"
This collaborative collection is the result of the members of the Kansas Archive-It Consortium's (KAIC) web archiving efforts during the COVID-19 pandemic. It includes archival content from state and local agencies, schools, and communities that reflect the communal response to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID.gov , Federal Depository Library Program Web Archive ,2022-04,"
A federal government website managed by the U.S. Department of Health & Human Services. Website includes links to guidance and information on all topics related to COVID-19, including the COVID-19 vaccine, symptom self-check, data, and other topics. The URL for this resource changed from https://www.coronavirus.gov/ to https://www.covid.gov/ and the Title of the page changed from Coronavirus (COVID-19) to COVID.gov. The first date of capture for the new URL occurred on April 4, 2022.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response at the University of Illinois , The Board Trustees of the University of Illinois Urbana-Champaign ,2020-04,"
COVID-19 Response at the University of Illinois includes archived web crawls concerning the COVID-19 pandemic response by the University of Illinois; COVID-19 PCR saliva testing; announcements by university administration; university safety policies; testing information; Personal Protective Equipment (PPE); stories related to COVID-19; and technological innovations such as the RapidVent emergency ventilator system.",,NA,NA,NA,NA,NA,NA,NA
" COVID-19 in Peel, non-municipal websites ", Region of Peel Archives at PAMA ,2021-12,NA,,NA,NA,NA,NA,NA,NA,NA
 University of Delaware COVID-19 Class Suit ," University of Delaware, Archives & Records Management ",2024-01,NA,,NA,NA,NA,NA,NA,NA,NA
 Coronavirus / COVID-19: global recovery , Institute of Chartered Accountants in England and Wales (ICAEW) ,2020-03,"
Archive of icaew.com/insights/coronavirus; icaew.com/coronavirus; and icaew.com/insights/covid-19-global-recovery",,NA,NA,NA,NA,NA,NA,NA
 FRS COVID-19 Response , Federal Reserve Bank of Minneapolis ,2020-03,"
This collection includes COVID-19 sites from all Federal Reserve Banks and the Board of Governors. Official Twitter accounts for the Federal Reserve Banks and Presidents are also captured at a quarterly frequency.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Waltham , Waltham Public Library ,2021-05,"
This collection of websites documents how the city of Waltham, Massachusetts responded to the Covid-19 pandemic. Content was captured retrospectively from schools, businesses, city government, news outlets, places of worship, and community organizations.",,NA,NA,NA,NA,NA,NA,NA
 FHSU COVID-19 Collection , Fort Hays State University ,2020-04,"
This is a collection of community resources documenting the response to the 2020 COVID-19 global pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , University of Northern Iowa  ,2020-04,"
This website collection contains content documenting the University of Northern Iowa’s response to the COVID-19 pandemic, which began in March 2020.",,NA,NA,NA,NA,NA,NA,NA
 Commencement 2021 , Creighton University ,2021-05,"
Capturing Creighton University's Virtual Commencement ceremonies in response to Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 The COVID-19 Pandemic and the University of Dayton , University of Dayton  ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Musicians and COVID-19 , Curtis Institute of Music ,2020-07,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 防疫專區 (台灣衛生福利部疾病管制署） ," Institute of Information Science, Academia Sinica ",2022-03,NA,,NA,NA,NA,NA,NA,NA,NA
 Covid-19 Collection - Michigan State University and Greater Lansing Area , Michigan State University ,2020-04,"
A collection of websites related to the university response to the Covid-19 pandemic. Also includes some of the surrounding communities. As the response to the pandemic progressed on campus, this collection focused more on the surrounding community. MSU related response began to be collected as part of normal university website crawling.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Novel Coronavirus) , University of California San Diego ,2020-03,"
Documenting UC San Diego and San Diego County's response to the COVID-19 pandemic. Includes university, local government, and local news resources.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 UNL Response , University of Nebraska-Lincoln  ,2020-03,"
Web pages dedicated to UNL's response to the Covid 19 global pandemic",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Web Archive Collection , Carnegie Library of Pittsburgh ,2020-07,"
Web archive collection to document the Pittsburgh community's lived experience through the Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 CU Boulder COVID-19 Web Archive , University of Colorado Boulder ,2020-03,"
These pages document the campus response to COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 in Newfoundland and Labrador , Memorial University Libraries ,2020-01,"
A collection of websites conveying the impact of the COVID-19 pandemic on the province of Newfoundland and Labrador.",,NA,NA,NA,NA,NA,NA,NA
 WMU COVID-19 , Western Michigan University ,2020-03,"
Website for the steps, precautionary measures, and updates regarding the Coronavirus 2019 on the campus of Western Michigan University.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response in Miami County , Tipp City Public Library ,2021-09,"
The COVID-19 Response in Miami County collection aims to document the COVID-19 pandemic in Miami County, its effects, and efforts related to the pandemic. It contains significant information regarding case numbers and public health updates.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Pandemic and the University of British Columbia , University of British Columbia ,2020-04,"
A web archive including information related to UBC's response to the COVID-19 pandemic. Websites include relevent content from UBC faculties and schools and UBC-affiliated organizations, the UBC President communications, and student and safety information.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 McGill University sites , McGill University ,2020-06,"
This collection consists of web content created by various McGill University Faculties, Offices, and students related to the SARS-CoV Virus (Covid-19). The content includes status updates, articles, and news regarding the outbreak of the pandemic, the measures implemented, and its effects on the McGill community.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 News Feed , Texas A&M University - Commerce ,2021-04,"
This collection documents news reports related to the COVID-19 pandemic in Texas from March 2020 to June 2020.",,NA,NA,NA,NA,NA,NA,NA
 The Ohio State University COVID-19 Response , The Ohio State University ,2022-09,"
This collection is dedicated to documenting The Ohio State University's response to the COVID-19 pandemic. The seeds displayed here are collected and shared from Ohio State's general web collection. This collection is part of the Internet Archives' COVID-19 Web Archive https://covid19.archive-it.org/.",,NA,NA,NA,NA,NA,NA,NA
 Canadian provincial and municipal collection on COVID-19 , Canadian Government Information PLN Web Archive ,2020-03,NA,,NA,NA,NA,NA,NA,NA,NA
 The Ringling COVID-19 Collection , Florida State University ,2020-11,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 on City of Brampton YouTube , Region of Peel Archives at PAMA ,2022-04,NA,,NA,NA,NA,NA,NA,NA,NA
 The COVID-19 Pandemic and the U.S. Church , University of Dayton  ,2020-03,"
The COVID-19 Pandemic and the U.S. Church Collections documents how the Catholic Church in the United States responded to the COVID-19 pandemic. Archived webpages include archdiocesan and diocesan press releases, liturgical guidelines, and more.",,NA,NA,NA,NA,NA,NA,NA
 Northwest Arkansas and COVID-19 Web Archive , University of Arkansas Libraries ,2020-03,"
This collection consists of public websites with content reflecting the impact of the COVID-19 pandemic on Northwest Arkansas.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 , Lehigh University  ,2020-05,"
Materials concerning the 2020 Coronavirus (COVID-19) outbreak. Includes official Lehigh University pages addressing the pandemic as well as news articles and local government resources.",,NA,NA,NA,NA,NA,NA,NA
 Commencement 2020 , Creighton University ,2020-05,"
Capturing Creighton University's Virtual Commencement ceremonies in response to Covid-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Covid 19 Williams Experience Project: Melvin Lewis's Blog , Williams College ,2020-04,"
Melvin Lewis's blog documenting his experience during the Covid 19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Response , Carleton University ,2020-04,"
This Collection will focus on collecting and preserving Carleton University's response to the COVID-19 pandemic. Specifically, the collection will focus on: faculty, staff, student, and Ottawa community related communications and information publicly available through websites, social media, etc.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 , Vassar College ,2020-04,"
A web archive initiative documenting Vassar College experiences and responses to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
" COVID-19, Racism, and Asian Communities ", University of British Columbia ,2020-05,"
A collection of web content on incidents of racism against the Asian communities in Canada, related to the COVID-19 pandemic.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 in Evanston , Evanston History Center ,2020-11,"
In support of the mission of the Evanston History Center, this collection has been built to document the Covid-19 Pandemic in Evanston, and its impact on local government, business, services, education, and lifestyle.",,NA,NA,NA,NA,NA,NA,NA
 Covid-19 , Forbes Library ,2020-03,"
This collection contains websites and social media pertaining to the Covid-19 pandemic from Western Massachusetts and the response by the community, beginning in 2020.",,NA,NA,NA,NA,NA,NA,NA
 Covid 19 Williams Experience Project: Jennifer Sarmiento's Blog , Williams College ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 State Executive Actions Related to the COVID-19 Pandemic , LIPA (Legal Information Preservation Alliance) ,2021-01,NA,,NA,NA,NA,NA,NA,NA,NA
 David J. Sencer CDC Museum COVID-19 Timeline Links , David J. Sencer CDC Museum ,2022-12,NA,,NA,NA,NA,NA,NA,NA,NA
 COVID-19 (Coronavirus) in New Caledonia , National Library of Australia ,2020-04,"
On 24 March 2020, mandatory lockdown took place in New Caledonia. This web archive documents that policy responses to the COVID-19 pandemic across the country with a focus on education. Notification to Australian citizens from New Caledonia Tourism was also captured.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 - Austin Presbyterian Community Response , Austin Presbyterian Theological Seminary  ,2020-04,"
Materials in this collection include news materials relating to the effect of COVID-19 on the Austin-area Presbyterian community.",,NA,NA,NA,NA,NA,NA,NA
 Covid 19 Williams Experience Project: Kristen Altmen's Blog , Williams College ,2020-05,NA,,NA,NA,NA,NA,NA,NA,NA
 Zilkha Center: Covid-19 Resilience Grant Projects , Williams College ,2020-10,NA,,NA,NA,NA,NA,NA,NA,NA
 UCLA Covid-19 Response , UCLA ,2020-03,"
Contains archived websites focusing on the response of the University of California, Los Angeles (UCLA) to the coronavirus disease (COVID-19). It tracks UCLA news reports, messages, and posts that inform students, faculty, staff, and the public about campus response to the pandemic.",,NA,NA,NA,NA,NA,NA,NA
 COVID-19 Coronavirus East Baton Rouge Parish , East Baton Rouge Parish Library ,2020-03,"
Covid-19 Collection URL nomination form: https://forms.gle/3pApBhB8h5yzJ6MJ7",,NA,NA,NA,NA,NA,NA,NA
